designation,profile,h,b,c,d,tw,tf,r1,r2,b1,Beta,A,Ix,Zx,rx,Iy,Zy,ry,Iu,Zu,ru,Iv,Zv,rv,J,Cw,Zplx,Zply,h_tf,hw,ac,ax,ay,alpha,id,unit_mass
IPE_AA100,IPE,97.60,55.00,-,-,3.60,4.50,7.00,-,-,-,856.00,1360000.00,27800.00,39.80,126000.00,4570.00,12.10,-,-,-,-,-,-,7330.00,272000000.00,31900.00,7230.00,21.70,74.60,-,-,-,-,61d13dbecd444878a12a5d6583916573,6.72
IPE100,IPE,100.00,55.00,-,-,4.10,5.70,7.00,-,-,-,1030.00,1710000.00,34200.00,40.70,159000.00,5790.00,12.40,-,-,-,-,-,-,12100.00,354000000.00,39400.00,9150.00,17.50,74.60,-,-,-,-,612f1b1bc2e14a919a5dbb8478e1cfcc,8.10
IPE_AA120,IPE,117.00,64.00,-,-,3.80,4.80,7.00,-,-,-,1060.00,2440000.00,41700.00,47.90,211000.00,6590.00,14.10,-,-,-,-,-,-,9550.00,663000000.00,47600.00,10400.00,24.40,93.40,-,-,-,-,91ef7316a0914bcb87f28e2d8b8055ef,8.36
IPE120,IPE,120.00,64.00,-,-,4.40,6.30,7.00,-,-,-,1320.00,3180000.00,53000.00,49.00,277000.00,8650.00,14.50,-,-,-,-,-,-,17400.00,894000000.00,60700.00,13600.00,19.00,93.40,-,-,-,-,6bbb29d108ae4dad8023b46d2600aff4,10.40
IPE_AA140,IPE,136.60,73.00,-,-,3.80,5.20,7.00,-,-,-,1280.00,4070000.00,59700.00,56.40,338000.00,9270.00,16.30,-,-,-,-,-,-,12000.00,1460000000.00,67600.00,14500.00,26.30,112.00,-,-,-,-,71d8b17a19e3471cbd4472247cd9c00c,10.10
IPE140,IPE,140.00,73.00,-,-,4.70,6.90,7.00,-,-,-,1640.00,5410000.00,77300.00,57.40,449000.00,12300.00,16.50,-,-,-,-,-,-,24600.00,1990000000.00,88300.00,19200.00,20.30,112.00,-,-,-,-,ea817ab56525466cb410f2c07a40fee7,12.90
IPE_AA160,IPE,156.40,82.00,-,-,4.00,5.60,9.00,-,-,-,1570.00,6590000.00,84300.00,64.80,517000.00,12600.00,18.10,-,-,-,-,-,-,18200.00,2940000000.00,95200.00,19700.00,27.90,127.00,-,-,-,-,314c0d46b49b4e8fbf4bdb6b643c97ad,12.30
IPE160,IPE,160.00,82.00,-,-,5.00,7.40,9.00,-,-,-,2010.00,8690000.00,109000.00,65.80,683000.00,16700.00,18.40,-,-,-,-,-,-,36200.00,3980000000.00,124000.00,26100.00,21.60,127.00,-,-,-,-,54c8ceddd72d423ea65d842bb0228a10,15.80
IPE_AA180,IPE,176.40,91.00,-,-,4.30,6.20,9.00,-,-,-,1900.00,10200000.00,116000.00,73.20,781000.00,17200.00,20.30,-,-,-,-,-,-,24900.00,5660000000.00,130000.00,26700.00,28.50,146.00,-,-,-,-,7db1746066f345a1a38d5dd1a9506b71,14.90
IPE180,IPE,180.00,91.00,-,-,5.30,8.00,9.00,-,-,-,2390.00,13200000.00,146000.00,74.20,1010000.00,22200.00,20.50,-,-,-,-,-,-,48100.00,7460000000.00,166000.00,34600.00,22.50,146.00,-,-,-,-,3d4aa70d392d4f9a85183876078187c1,18.80
IPE_AA200,IPE,196.40,100.00,-,-,4.50,6.70,12.00,-,-,-,2290.00,15300000.00,156000.00,81.90,1120000.00,22400.00,22.10,-,-,-,-,-,-,38700.00,10100000000.00,176000.00,35000.00,29.30,159.00,-,-,-,-,108465409d30415caf1ba8d9b3bc2497,18.00
IPE200,IPE,200.00,100.00,-,-,5.60,8.50,12.00,-,-,-,2850.00,19400000.00,194000.00,82.60,1420000.00,28500.00,22.40,-,-,-,-,-,-,70200.00,13100000000.00,221000.00,44600.00,23.50,159.00,-,-,-,-,45cb0c6a9c484dadad0d6c0ac2085371,22.40
UB203x133x25,UB,203.20,133.20,-,-,5.70,7.80,7.60,-,-,-,3220.00,23500000.00,231000.00,85.40,3090000.00,46300.00,31.00,-,-,-,-,-,-,62100.00,29500000000.00,259000.00,71200.00,26.10,172.00,-,-,-,-,583524e88d2a4f34a92285502befc2a1,25.10
UB203x133x30,UB,206.80,133.90,-,-,6.40,9.60,7.60,-,-,-,3800.00,28900000.00,279000.00,87.20,3840000.00,57400.00,31.80,-,-,-,-,-,-,103000.00,37300000000.00,313000.00,88000.00,21.50,172.00,-,-,-,-,b6b547c23ca7436aa569fc29cf223f86,30.00
UB254x146x31,UB,251.40,146.10,-,-,6.00,8.60,7.60,-,-,-,3990.00,44300000.00,352000.00,105.00,4480000.00,61300.00,33.50,-,-,-,-,-,-,88200.00,66000000000.00,395000.00,94200.00,29.20,219.00,-,-,-,-,3a451a2e634341049e97771f57e8af44,31.10
UB254x146x37,UB,256.00,146.40,-,-,6.30,10.90,7.60,-,-,-,4740.00,55500000.00,433000.00,108.00,5710000.00,78000.00,34.70,-,-,-,-,-,-,155000.00,85700000000.00,485000.00,119000.00,23.50,219.00,-,-,-,-,400cd7b3a1d7487c8990cc7e0c6f64e0,37.00
UB254x146x43,UB,259.60,147.30,-,-,7.20,12.70,7.60,-,-,-,5500.00,65500000.00,505000.00,109.00,6770000.00,92000.00,35.10,-,-,-,-,-,-,242000.00,103000000000.00,568000.00,141000.00,20.40,219.00,-,-,-,-,e3c409f09e9244e085ed4261adade0fd,43.00
UB305x102x25,UB,305.10,101.60,-,-,5.80,6.70,7.60,-,-,-,3120.00,43600000.00,286000.00,118.00,1190000.00,23500.00,19.60,-,-,-,-,-,-,48000.00,26500000000.00,336000.00,37800.00,44.80,276.00,-,-,-,-,20eb006a834f4fc5862ded0f7bb9a095,24.80
UB305x102x28,UB,308.90,101.90,-,-,6.10,8.90,7.60,-,-,-,3640.00,54400000.00,352000.00,122.00,1580000.00,30900.00,20.80,-,-,-,-,-,-,78300.00,35500000000.00,408000.00,49200.00,34.70,276.00,-,-,-,-,01033c9780c44afe89badb83427fb437,28.20
UB305x102x33,UB,312.70,102.40,-,-,6.60,10.80,7.60,-,-,-,4180.00,65000000.00,416000.00,125.00,1940000.00,37900.00,21.50,-,-,-,-,-,-,123000.00,44200000000.00,481000.00,60000.00,29.00,276.00,-,-,-,-,b279b6da7b0a49a2ad1e5c82149ec8b9,32.80
UB305x165x40,UB,303.80,165.10,-,-,6.10,10.20,8.90,-,-,-,5160.00,85500000.00,563000.00,129.00,7660000.00,92800.00,38.50,-,-,-,-,-,-,149000.00,165000000000.00,626000.00,142000.00,29.80,266.00,-,-,-,-,7056f9bb442c4cd49117dcfccf3d6a35,40.30
UB305x165x46,UB,307.10,165.70,-,-,6.70,11.80,8.90,-,-,-,5880.00,99300000.00,647000.00,130.00,8960000.00,108000.00,39.00,-,-,-,-,-,-,223000.00,195000000000.00,722000.00,166000.00,26.00,266.00,-,-,-,-,9a58073f6069436bbc78be7e094dcef4,46.10
UB305x165x54,UB,310.90,166.80,-,-,7.70,13.70,8.90,-,-,-,6820.00,117000000.00,752000.00,131.00,10600000.00,127000.00,39.40,-,-,-,-,-,-,345000.00,234000000000.00,843000.00,195000.00,22.70,266.00,-,-,-,-,a1ba2aa2379d4bef87c2fc7e6c1949c2,54.00
UB356x171x45,UB,352.00,171.00,-,-,6.90,9.70,10.20,-,-,-,5700.00,121000000.00,686000.00,146.00,8100000.00,94700.00,37.70,-,-,-,-,-,-,160000.00,237000000000.00,773000.00,146000.00,36.30,312.00,-,-,-,-,f35c3ab08b164a2fbc34a38af902f6b7,45.00
UB356x171x51,UB,355.60,171.50,-,-,7.30,11.50,10.20,-,-,-,6460.00,142000000.00,796000.00,148.00,9680000.00,113000.00,38.70,-,-,-,-,-,-,238000.00,287000000000.00,895000.00,174000.00,30.90,312.00,-,-,-,-,30082ef998f54320a6c349e3f842faa2,51.00
UB356x171x57,UB,358.60,172.10,-,-,8.00,13.00,10.20,-,-,-,7220.00,161000000.00,896000.00,149.00,11100000.00,129000.00,39.10,-,-,-,-,-,-,334000.00,330000000000.00,1010000.00,198000.00,27.60,312.00,-,-,-,-,8b3e4f59ae6e4b5cb36f1369c65d4d2a,57.00
UB356x171x67,UB,364.00,173.20,-,-,9.10,15.70,10.20,-,-,-,8550.00,195000000.00,1070000.00,151.00,13600000.00,157000.00,39.90,-,-,-,-,-,-,560000.00,413000000000.00,1210000.00,243000.00,23.20,312.00,-,-,-,-,a007385a413f4c95b637b71c24171537,67.10
UB406x140x39,UB,397.30,141.80,-,-,6.30,8.60,10.20,-,-,-,4920.00,124000000.00,625000.00,159.00,4100000.00,57800.00,28.90,-,-,-,-,-,-,108000.00,155000000000.00,718000.00,90700.00,46.20,360.00,-,-,-,-,d67bd6d76a0e4e1ab4ad848742c4b5db,39.00
UB406x140x46,UB,402.30,142.40,-,-,6.90,11.20,10.20,-,-,-,5900.00,157000000.00,779000.00,163.00,5400000.00,75900.00,30.30,-,-,-,-,-,-,194000.00,207000000000.00,889000.00,119000.00,35.90,359.00,-,-,-,-,ee3992b67d114428bcc3bae0f66606c3,46.00
UB406x178x54,UB,402.60,177.60,-,-,7.60,10.90,10.20,-,-,-,6860.00,187000000.00,927000.00,165.00,10200000.00,115000.00,38.60,-,-,-,-,-,-,233000.00,391000000000.00,1050000.00,178000.00,36.90,360.00,-,-,-,-,fb321834cb3149728a1a7efab7d4bad6,54.10
UB406x178x60,UB,406.40,177.80,-,-,7.80,12.80,10.20,-,-,-,7610.00,215000000.00,1060000.00,168.00,12000000.00,135000.00,39.70,-,-,-,-,-,-,332000.00,465000000000.00,1200000.00,209000.00,31.70,360.00,-,-,-,-,4ef80fc43aac4d6fbb2881aefe0cb925,60.10
UB406x178x67,UB,409.40,178.80,-,-,8.80,14.30,10.20,-,-,-,8550.00,243000000.00,1190000.00,169.00,13600000.00,153000.00,39.90,-,-,-,-,-,-,465000.00,533000000000.00,1350000.00,237000.00,28.60,360.00,-,-,-,-,7ba3eb2583a647558593bdc9994b3e3f,67.10
UB406x178x74,UB,412.80,179.70,-,-,9.70,16.00,10.20,-,-,-,9530.00,274000000.00,1330000.00,170.00,15500000.00,173000.00,40.30,-,-,-,-,-,-,642000.00,610000000000.00,1510000.00,268000.00,25.80,360.00,-,-,-,-,fcfa9eb3d2a042f298ae58dfe0e4fc0f,74.20
UB457x191x67,UB,453.60,189.90,-,-,8.50,12.70,10.20,-,-,-,8550.00,294000000.00,1300000.00,185.00,14500000.00,153000.00,41.20,-,-,-,-,-,-,376000.00,706000000000.00,1470000.00,237000.00,35.70,408.00,-,-,-,-,ad9d698837214ae6bdc89c69f08f0ae6,67.10
UB457x191x74,UB,457.20,190.50,-,-,9.10,14.50,10.20,-,-,-,9510.00,334000000.00,1460000.00,187.00,16700000.00,176000.00,42.00,-,-,-,-,-,-,527000.00,820000000000.00,1660000.00,273000.00,31.50,408.00,-,-,-,-,f9125947e2ea4c4aa0bef524f65cee58,74.30
UB457x191x82,UB,460.20,191.30,-,-,9.90,16.00,10.20,-,-,-,10500.00,371000000.00,1610000.00,188.00,18700000.00,196000.00,42.30,-,-,-,-,-,-,699000.00,923000000000.00,1830000.00,304000.00,28.80,408.00,-,-,-,-,a5270e88443a4e3d807371af7dd6532a,82.00
UB457x191x89,UB,463.60,192.00,-,-,10.60,17.70,10.20,-,-,-,11400.00,411000000.00,1770000.00,190.00,20900000.00,218000.00,42.80,-,-,-,-,-,-,921000.00,1040000000000.00,2020000.00,339000.00,26.20,408.00,-,-,-,-,89ffdb6f02a94881b0416e43bdfae8e1,89.30
UB457x191x98,UB,467.60,192.80,-,-,11.40,19.60,10.20,-,-,-,12500.00,458000000.00,1960000.00,191.00,23500000.00,243000.00,43.30,-,-,-,-,-,-,1220000.00,1180000000000.00,2230000.00,379000.00,23.90,408.00,-,-,-,-,d63b660add14419f8deef5f898bb03f6,98.30
UB533x210x82,UB,528.30,208.70,-,-,9.60,13.20,12.70,-,-,-,10500.00,475000000.00,1800000.00,213.00,20000000.00,192000.00,43.80,-,-,-,-,-,-,527000.00,1330000000000.00,2060000.00,300000.00,40.00,476.00,-,-,-,-,6c8fc191b8c642198fcdc48dd9b83f51,82.20
UB533x210x92,UB,533.10,209.30,-,-,10.20,15.60,12.70,-,-,-,11800.00,553000000.00,2080000.00,217.00,23900000.00,228000.00,45.00,-,-,-,-,-,-,772000.00,1600000000000.00,2370000.00,356000.00,34.20,476.00,-,-,-,-,a2c24e3a6b15485f9ca7d63240d61f79,92.10
UB533x210x101,UB,536.70,210.10,-,-,10.90,17.40,12.70,-,-,-,12900.00,616000000.00,2300000.00,218.00,27000000.00,257000.00,45.70,-,-,-,-,-,-,1030000.00,1820000000000.00,2620000.00,400000.00,30.80,476.00,-,-,-,-,c5210bc4aa604fd58f9346af66f54824,101.00
UB533x210x109,UB,539.50,210.70,-,-,11.60,18.80,12.70,-,-,-,13900.00,668000000.00,2480000.00,219.00,29400000.00,279000.00,46.00,-,-,-,-,-,-,1280000.00,1990000000000.00,2830000.00,435000.00,28.70,476.00,-,-,-,-,60d0a5e89f02417b99141e9a83b70107,109.00
UB533x210x122,UB,544.60,211.90,-,-,12.80,21.30,12.70,-,-,-,15600.00,762000000.00,2800000.00,221.00,33900000.00,320000.00,46.60,-,-,-,-,-,-,1810000.00,2320000000000.00,3200000.00,500000.00,25.60,477.00,-,-,-,-,39955a0389264b0a880ae186ad9d84c0,122.00
UC152x152x23,UC,152.40,152.40,-,-,6.10,6.80,7.60,-,-,-,2970.00,12600000.00,165000.00,65.10,4020000.00,52700.00,36.80,-,-,-,-,-,-,51100.00,21300000000.00,184000.00,80500.00,22.40,124.00,-,-,-,-,a651fc078b6842daaaaf7100cb9a4cbd,23.00
UC152x152x30,UC,157.50,152.90,-,-,6.60,9.40,7.60,-,-,-,3840.00,17500000.00,222000.00,67.50,5600000.00,73300.00,38.20,-,-,-,-,-,-,108000.00,30700000000.00,248000.00,112000.00,16.80,123.00,-,-,-,-,ea992ec82c2748a5adff14021e1235d3,30.00
UC152x152x37,UC,161.80,154.40,-,-,8.10,11.50,7.60,-,-,-,4730.00,22100000.00,274000.00,68.40,7060000.00,91500.00,38.70,-,-,-,-,-,-,197000.00,39900000000.00,309000.00,140000.00,14.10,124.00,-,-,-,-,006e1ccfd61a49aeb3951afa89db1ae4,37.00
UC203x203x46,UC,203.20,203.20,-,-,7.30,11.00,10.20,-,-,-,5880.00,45600000.00,449000.00,88.10,15400000.00,151000.00,51.20,-,-,-,-,-,-,225000.00,142000000000.00,497000.00,230000.00,18.50,161.00,-,-,-,-,1b18bbb7ffd64b1d8a7642655a53b831,46.10
UC203x203x52,UC,206.20,203.90,-,-,8.00,12.50,10.20,-,-,-,6640.00,52500000.00,510000.00,89.00,17700000.00,173000.00,51.60,-,-,-,-,-,-,322000.00,166000000000.00,567000.00,263000.00,16.50,161.00,-,-,-,-,8686d230ab6a4395b804283b4bf2fdd7,52.00
UC203x203x60,UC,209.60,205.20,-,-,9.30,14.20,10.20,-,-,-,7600.00,61000000.00,582000.00,89.60,20500000.00,199000.00,51.90,-,-,-,-,-,-,475000.00,195000000000.00,654000.00,303000.00,14.80,161.00,-,-,-,-,174b7301147a4c839cef79fd06450ac4,60.00
UC203x203x71,UC,215.90,206.20,-,-,10.30,17.30,10.20,-,-,-,9090.00,76300000.00,707000.00,91.60,25300000.00,245000.00,52.80,-,-,-,-,-,-,817000.00,249000000000.00,801000.00,373000.00,12.50,161.00,-,-,-,-,70d61f545e38426d889547adbcf0b39c,71.00
UC203x203x86,UC,222.30,208.80,-,-,13.00,20.50,10.20,-,-,-,11000.00,94600000.00,851000.00,92.70,31100000.00,298000.00,53.20,-,-,-,-,-,-,1400000.00,317000000000.00,978000.00,455000.00,10.80,161.00,-,-,-,-,227e21d287024e86823bf1fe4d581a46,86.10
UC254x254x73,UC,254.20,254.00,-,-,8.60,14.20,12.70,-,-,-,9290.00,114000000.00,896000.00,111.00,38800000.00,306000.00,64.60,-,-,-,-,-,-,578000.00,559000000000.00,990000.00,463000.00,17.90,200.00,-,-,-,-,93df654795d644dba5d55d0ab4d9f775,73.10
UC254x254x89,UC,260.40,255.90,-,-,10.50,17.30,12.70,-,-,-,11400.00,143000000.00,1100000.00,112.00,48300000.00,378000.00,65.20,-,-,-,-,-,-,1040000.00,714000000000.00,1230000.00,574000.00,15.10,200.00,-,-,-,-,9464e0dad15b4bc49504a34838e82ace,88.90
UC254x254x107,UC,266.70,258.30,-,-,13.00,20.50,12.70,-,-,-,13700.00,175000000.00,1310000.00,113.00,58900000.00,456000.00,65.70,-,-,-,-,-,-,1750000.00,893000000000.00,1480000.00,695000.00,13.00,200.00,-,-,-,-,e49319abe81443558fdc1f4970a465f1,107.00
UC254x254x132,UC,276.40,261.00,-,-,15.60,25.10,12.70,-,-,-,16800.00,224000000.00,1620000.00,116.00,74500000.00,571000.00,66.60,-,-,-,-,-,-,3180000.00,1180000000000.00,1860000.00,870000.00,11.00,201.00,-,-,-,-,a73723b2ec3c4252aa7c1601ff9da102,132.00
UC254x254x167,UC,289.10,264.50,-,-,19.20,31.70,12.70,-,-,-,21200.00,299000000.00,2070000.00,119.00,97900000.00,740000.00,67.90,-,-,-,-,-,-,6340000.00,1620000000000.00,2420000.00,1130000.00,9.12,200.00,-,-,-,-,393141683b414644939ea3a5c8198ab3,167.00
UC305x305x97,UC,307.80,304.80,-,-,9.90,15.40,15.20,-,-,-,12300.00,222000000.00,1440000.00,134.00,72700000.00,477000.00,76.80,-,-,-,-,-,-,919000.00,1550000000000.00,1590000.00,724000.00,20.00,247.00,-,-,-,-,789070d26b6647bc9da16381f7b248a6,96.90
UC305x305x118,UC,314.50,306.80,-,-,11.90,18.70,15.20,-,-,-,15000.00,276000000.00,1760000.00,136.00,90100000.00,587000.00,77.60,-,-,-,-,-,-,1620000.00,1970000000000.00,1950000.00,892000.00,16.80,247.00,-,-,-,-,cfebb501cdc644618b389ab6755f7317,118.00
UC305x305x137,UC,320.50,308.70,-,-,13.80,21.70,15.20,-,-,-,17400.00,328000000.00,2040000.00,137.00,106000000.00,690000.00,78.20,-,-,-,-,-,-,2510000.00,2380000000000.00,2290000.00,1050000.00,14.80,247.00,-,-,-,-,e6c0f30689704c06b9c575fe336f0ab9,137.00
UC305x305x158,UC,327.20,310.60,-,-,15.70,25.00,15.20,-,-,-,20100.00,387000000.00,2360000.00,139.00,125000000.00,805000.00,78.90,-,-,-,-,-,-,3810000.00,2850000000000.00,2670000.00,1230000.00,13.10,247.00,-,-,-,-,95db0d6d24d7499ab2df45f81d10f507,158.00
TFC76x38,TFC,76.20,38.10,-,-,5.10,6.80,7.60,2.40,16.50,95.00,855.00,743000.00,19500.00,29.50,107000.00,4090.00,11.20,-,-,-,-,-,-,12000.00,85000000.00,-,-,-,-,45.80,23.30,11.90,-,4b5fcd51454a47fb8edc3f6040c13fbb,6.70
TFC100x50,TFC,100.00,50.00,-,-,6.00,8.50,8.50,4.50,25.60,95.00,1340.00,2050000.00,40900.00,39.10,290000.00,8400.00,14.70,-,-,-,-,-,-,26800.00,372000000.00,-,-,-,-,66.00,31.70,15.50,-,e8cf7b23f9804d518812de48b26b2375,10.70
TFC120x55,TFC,120.00,55.00,-,-,7.00,9.00,9.00,4.50,27.50,95.00,1700.00,3640000.00,60700.00,46.30,431000.00,11100.00,15.90,-,-,-,-,-,-,39700.00,826000000.00,-,-,-,-,84.00,32.70,16.10,-,8fa60edea39b4fff9c65aaf48ed31445,13.50
TFC127x64,TFC,127.00,63.50,-,-,6.40,9.20,10.70,2.40,28.50,95.00,1900.00,4830000.00,76000.00,50.40,672000.00,15200.00,18.80,-,-,-,-,-,-,47200.00,1490000000.00,-,-,-,-,84.00,40.20,19.40,-,96194c5df8c4492da8682796e92d6082,14.90
TFC140x60,TFC,140.00,60.00,-,-,7.00,10.00,10.00,5.00,30.00,95.00,2040.00,6050000.00,86400.00,54.50,625000.00,14700.00,17.50,-,-,-,-,-,-,54800.00,1640000000.00,-,-,-,-,100.00,36.40,17.60,-,425b68ea63354becaa25a7e841f18d4d,16.20
TFC152x76,TFC,152.40,76.20,-,-,6.40,9.00,12.20,2.40,34.90,95.00,2280.00,8510000.00,112000.00,61.10,1140000.00,21000.00,22.30,-,-,-,-,-,-,56900.00,3620000000.00,-,-,-,-,106.00,47.80,22.10,-,88d424273b3b421d96e32cc2439274b6,17.90
TFC160x65,TFC,160.00,65.00,-,-,7.50,10.50,10.50,5.50,32.50,95.00,2400.00,9250000.00,116000.00,62.10,851000.00,18300.00,18.80,-,-,-,-,-,-,71200.00,2950000000.00,-,-,-,-,118.00,38.50,18.40,-,669fb397f9a6456eb3eccc4f77e20fa4,19.10
TFC178x54,TFC,177.80,54.00,-,-,5.80,8.30,8.30,3.20,24.10,92.00,1850.00,8600000.00,96800.00,68.10,461000.00,11600.00,15.80,-,-,-,-,-,-,32800.00,2290000000.00,-,-,-,-,143.00,29.30,14.20,-,29fc39c0650b4826b9889dde1f6844fb,14.50
TFC180x70,TFC,180.00,70.00,-,-,8.00,11.00,11.00,5.50,35.00,95.00,2800.00,13500000.00,150000.00,69.60,1140000.00,22400.00,20.10,-,-,-,-,-,-,91100.00,5060000000.00,-,-,-,-,136.00,40.60,19.30,-,5c7e61d4bb08406387548ba1401d3b2a,22.30
TFC200x75,TFC,200.00,75.00,-,-,8.50,11.50,11.50,6.00,37.50,95.00,3220.00,19100000.00,191000.00,77.10,1480000.00,26900.00,21.40,-,-,-,-,-,-,115000.00,8190000000.00,-,-,-,-,154.00,42.70,20.10,-,0e9048652d0a4a55b3b1b41a8d3fb024,25.30
PFC100x50,PFC,100.00,50.00,-,-,5.00,8.40,8.40,-,-,-,1290.00,2050000.00,41100.00,40.00,320000.00,9790.00,15.80,-,-,-,-,-,-,24200.00,490000000.00,-,-,-,-,66.40,34.10,17.30,-,42233b7dabd14b7e93eb06f6ed7489a8,10.10
PFC180x70,PFC,180.00,70.00,-,-,7.00,10.90,10.90,-,-,-,2680.00,13500000.00,150000.00,71.00,1270000.00,26200.00,21.80,-,-,-,-,-,-,82300.00,6520000000.00,-,-,-,-,136.00,43.50,21.50,-,213251eff0a94e679aef1f5dd2786650,21.10
PFC200x75,PFC,200.00,75.00,-,-,7.50,11.40,11.40,-,-,-,3090.00,19100000.00,191000.00,78.60,1670000.00,31800.00,23.20,-,-,-,-,-,-,104000.00,10600000000.00,-,-,-,-,154.00,45.70,22.50,-,6addcdf87ecc4efe92761cba36138e06,24.30
PFC230x90,PFC,230.00,90.00,-,-,7.50,14.00,12.00,-,-,-,4100.00,35200000.00,306000.00,92.70,3340000.00,55000.00,28.60,-,-,-,-,-,-,193000.00,27900000000.00,-,-,-,-,178.00,60.00,29.20,-,4c56ffe1f5fd4fd6a27f265c1670ce93,32.20
PFC260x90,PFC,260.00,90.00,-,-,8.00,14.00,12.00,-,-,-,4440.00,47300000.00,364000.00,103.00,3530000.00,56300.00,28.20,-,-,-,-,-,-,206000.00,38000000000.00,-,-,-,-,208.00,56.60,27.40,-,8903a43e11254fc7a0af44548c5ef342,34.80
PFC300x100,PFC,300.00,100.00,-,-,9.00,16.50,12.00,-,-,-,5760.00,81700000.00,545000.00,119.00,5670000.00,81700.00,31.40,-,-,-,-,-,-,358000.00,81000000000.00,-,-,-,-,243.00,63.10,30.60,-,b688772840b4410994855191343d8766,45.40
EA25x25x3,EA,3.50,2.00,-,-,-,-,-,-,-,-,142.00,8000.00,448.00,7.49,-,-,-,13000.00,714.00,9.43,3000.00,324.00,4.83,476.00,-,-,-,-,-,-,-,-,-,abbffd84f1a64b66b6d723795ef5e5fb,1.11
EA25x25x5,EA,3.50,2.00,-,-,-,-,-,-,-,-,226.00,12000.00,708.00,7.30,-,-,-,19000.00,1070.00,9.14,5000.00,462.00,4.80,1980.00,-,-,-,-,-,-,-,-,-,e3cde17029364a9294fc2a24111f45d4,1.77
EA30x30x3,EA,5.00,2.50,-,-,-,-,-,-,-,-,174.00,14000.00,649.00,8.99,-,-,-,22000.00,1050.00,11.30,6000.00,496.00,5.81,635.00,-,-,-,-,-,-,-,-,-,c35e266249844f3d92dcd0ffeb9a4fc3,1.36
EA30x30x5,EA,5.00,2.50,-,-,-,-,-,-,-,-,278.00,22000.00,1040.00,8.83,-,-,-,34000.00,1610.00,11.10,9000.00,706.00,5.75,2580.00,-,-,-,-,-,-,-,-,-,e2e8f9a087fd4e4dad4523832760b15f,2.18
EA40x40x3,EA,6.00,3.00,-,-,-,-,-,-,-,-,235.00,35000.00,1180.00,12.10,-,-,-,55000.00,1930.00,15.30,14000.00,951.00,7.84,882.00,-,-,-,-,-,-,-,-,-,fcd00099fabe4c9d9885564a4b25577b,1.85
EA40x40x4,EA,6.00,3.00,-,-,-,-,-,-,-,-,308.00,45000.00,1550.00,12.10,-,-,-,71000.00,2510.00,15.20,19000.00,1170.00,7.77,1920.00,-,-,-,-,-,-,-,-,-,49ca50ffd24e4ecf9303b00517d3fe21,2.42
EA40x40x5,EA,6.00,3.00,-,-,-,-,-,-,-,-,379.00,54000.00,1910.00,12.00,-,-,-,86000.00,3040.00,15.10,23000.00,1380.00,7.73,3560.00,-,-,-,-,-,-,-,-,-,aac42cb530084598a21e1abeb8e095ba,2.97
EA40x40x6,EA,6.00,3.00,-,-,-,-,-,-,-,-,448.00,63000.00,2260.00,11.90,-,-,-,100000.00,3530.00,14.90,27000.00,1560.00,7.70,5920.00,-,-,-,-,-,-,-,-,-,826a3690666847a69179743c79b828af,3.52
EA45x45x3,EA,7.00,3.50,-,-,-,-,-,-,-,-,268.00,50000.00,1520.00,13.70,-,-,-,79000.00,2490.00,17.20,21000.00,1250.00,8.88,1060.00,-,-,-,-,-,-,-,-,-,a3dedfbdd89f4d5191d56b25f8bcc9a7,2.13
EA45x45x4,EA,7.00,3.50,-,-,-,-,-,-,-,-,349.00,64000.00,1970.00,13.60,-,-,-,102000.00,3200.00,17.10,27000.00,1530.00,8.76,2270.00,-,-,-,-,-,-,-,-,-,3d2b2f350dbf4175913d82eb4bd723d9,2.74
EA45x45x5,EA,7.00,3.50,-,-,-,-,-,-,-,-,430.00,78000.00,2430.00,13.50,-,-,-,124000.00,3900.00,17.00,33000.00,1800.00,8.71,4170.00,-,-,-,-,-,-,-,-,-,37083541b4f54ec2a32604e685e3db60,3.38
EA50x50x3,EA,7.00,3.50,-,-,-,-,-,-,-,-,298.00,70000.00,1890.00,15.30,-,-,-,110000.00,3120.00,19.20,29000.00,1580.00,9.92,1150.00,-,-,-,-,-,-,-,-,-,78ef793019d24d138f21eb22bfc13ce3,2.37
EA50x50x4,EA,7.00,3.50,-,-,-,-,-,-,-,-,389.00,90000.00,2460.00,15.20,-,-,-,142000.00,4020.00,19.10,37000.00,1940.00,9.79,2480.00,-,-,-,-,-,-,-,-,-,0d44517b35414455be2050f92dbb3745,3.06
EA50x50x5,EA,7.00,3.50,-,-,-,-,-,-,-,-,480.00,110000.00,3050.00,15.10,-,-,-,174000.00,4920.00,19.00,46000.00,2290.00,9.73,4580.00,-,-,-,-,-,-,-,-,-,9cdb499f5b6544109d1451eb815c3a87,3.77
EA50x50x6,EA,7.00,3.50,-,-,-,-,-,-,-,-,569.00,128000.00,3610.00,15.00,-,-,-,203000.00,5750.00,18.90,53000.00,2610.00,9.68,7620.00,-,-,-,-,-,-,-,-,-,8d9f075db10a4790acca700bfa22ba89,4.47
EA50x50x8,EA,7.00,3.50,-,-,-,-,-,-,-,-,741.00,163000.00,4680.00,14.80,-,-,-,257000.00,7270.00,18.60,69000.00,3190.00,9.63,17000.00,-,-,-,-,-,-,-,-,-,4fc26458930940e78b883bd66147a6cd,5.82
